1;2;3;4;5;6;7;8;9;10;11;12;13;14
55;Альфа;516;М;04.10.1968;;;11.05.2004;14.65;27.86;27.86;107000.00;194678.00;Специалисты и служащие
56;Альфа;541;Ж;21.09.1978;;;07.10.2013;13.37;13.37;13.37;194000.00;224454.00;Руководители
57;Альфа;556;Ж;22.11.1971;;;09.08.2004;14.4;14.4;14.4;61500.00;108223.00;Специалисты и служащие
58;Альфа;564;Ж;25.06.1977;;;23.08.2004;14.37;14.37;14.37;78000.00;79769.00;Специалисты и служащие
59;Альфа;566;Ж;11.07.1967;;;23.08.2004;14.36;14.36;14.36;78000.00;132509.00;Специалисты и служащие
60;Альфа;571;Ж;31.05.1955;срочник;;17.12.2018;1.18;10.23;10.23;73500.00;32016.00;Специалисты и служащие
61;Альфа;601;М;24.04.1982;;;02.12.2004;14.09;14.9;14.9;120000.00;162710.00;Специалисты и служащие
62;Альфа;612;М;27.06.1976;;;27.12.2004;16.27;20.46;20.46;95000.00;133383.00;Специалисты и служащие
63;Альфа;629;М;10.07.1977;;;14.03.2005;13.8;15.57;15.57;209000.00;259285.00;Руководители
64;Альфа;645;М;19.05.1977;;;01.06.2005;13.58;13.58;13.58;103000.00;141071.00;Специалисты и служащие
65;Альфа;661;Ж;21.08.1969;;;27.06.2005;13.52;13.52;13.52;189500.00;217209.00;Руководители
66;Альфа;668;Ж;31.10.1976;;;13.07.2005;13.48;13.48;13.48;126000.00;163252.00;Специалисты и служащие
67;Альфа;674;М;14.10.1978;;;28.07.2005;13.43;13.43;13.43;0.00;229775.00;Руководители
68;Альфа;677;М;30.04.1972;;;01.08.2005;13.43;23.35;23.35;209000.00;306175.00;Руководители
69;Альфа;687;Ж;28.09.1976;;;29.08.2005;13.35;13.35;13.35;0.00;155582.00;Руководители
70;Альфа;701;Ж;11.10.1962;;;05.09.2005;13.33;13.33;13.33;89000.00;126545.00;Специалисты и служащие
71;Альфа;706;М;14.04.1977;;;12.09.2005;13.31;18.18;18.18;241000.00;372659.00;Руководители
72;Альфа;708;М;24.01.1975;;;22.03.2010;11.24;11.24;11.24;149000.00;177332.00;Руководители
73;Альфа;725;Ж;23.02.1977;;;03.10.2005;13.26;18.69;18.69;240000.00;344065.00;Руководители
74;Альфа;736;М;02.08.1975;;;08.11.2005;16.27;21.49;21.49;85500.00;121006.00;Специалисты и служащие
75;Альфа;739;М;19.03.1973;;;14.11.2005;13.13;16.01;16.01;108000.00;152811.00;Специалисты и служащие
